Table,en-UK,ru-RU,zh-CN
Assets_AnimationsTab,Animations,Анимации,动画
,,,
InclExclAssets_ForceExclude,Force-exclude Assets,Принудительно исключить ассеты,强制排除资源
InclExclAssets_ForceInclude,Force-include Assets,Принудительно включить ассеты,强制包含资源
,,,
TexturesTab_DefaultSettings,Default Texture settings,Настройки текстур по умолчанию,默认纹理设置
TexturesTab_MaxSize,Max size,Максимальный размер,最大尺寸
TexturesTab_DimensionsSeparator,x,x,x
TexturesTab_Pixels,pixels,пикселей,像素
TexturesTab_Format,Format,Формат,格式
TextureTab_TextureFormatDefault,Default,По умолчанию,默认
TexturesTab_Quality,Quality,Качество,质量
TexturesTab_Compression,Compression,Компрессия,压缩
TextureTab_CompressionNone,None,Ничего,无
TexturesTab_CustomScript,Custom script,Скрипт пользователя,自定义脚本
TexturesTab_CustomScriptExtension,Custom script extension,Расширение скрипта,自定义脚本扩展
TexturesTab_PerTextureSettings,Per-texture settings,Настройки текстуры,逐纹理设置
TexturesTab_WEBPWarning,WebP requires iOS 14 or higher,WebP требуется iOS 14 или выше,WebP 需要 iOS 14 或更高版本
TexturesTab_OverrideSettings, {0} Texture settings, {0} Настройки текстуры, {0} 纹理设置
,,,
SoundsTab_DefaultSoundSettings,Default Sound settings,Настройки звука по умолчанию,默认音效设置
SoundsTab_Format,Format,Формат,格式
SoundsTab_DefaultChannel,Default,По умолчанию,默认
SoundsTab_Bitrate,Bitrate,Битрейт,比特率
SoundsTab_BitrateSpeed,K,К,K
SoundsTab_CustomScript,Custom script,Скрипт пользователя,自定义脚本
SoundsTab_CustomScriptExtension,Custom script extension,Расширение скрипта,自定义脚本扩展
SoundsTab_PerTextureSettings,Per-sound settings,Настройки звука,逐音效设置
SoundsTab_Cropping,Cropping,Обрезать,剪裁
SoundsTab_StartCroppingTime,from,с,从
SoundsTab_EndCroppingTime,to,до,到
SoundsTab_Play,Play,Воспроизвести,播放
SoundsTab_Stop,Stop,Остановить,停止
SoundTab_OverrideSettings,{0} Sound settings, {0} Настройки звука,{0} 音效设置
,,,
FontTab_DefaultFontSettings,Default Font settings,Настройки шрифта по умолчанию,默认字体设置
FontTab_Alphabet,Alphabet,Алфавит,字母表
FontTab_GlyphSize,Glyph size,Размер символа,字形大小
FontTab_TextureSize,Texture size,Размер текстуры,纹理大小
FontTab_DimensionsSeparator,x,x,x
FontTab_Pixels,pixels,пикселей,像素
FontTab_PerFontSettings,Per-font settings,Настройки шрифта,逐字体设置
FontTab_OverrideSettings,{0} Font settings,{0} Настройки шрифта,{0} 字体设置
,,,
Meshes_DefaultMeshSettings,Default Mesh settings,Настройки меша по умолчанию,默认网格设置
Meshes_PerMeshSettings,Per-mesh settings,Настройки меша,逐网格设置
Meshes_HalfPrecision,Store mesh in Half-precision floating-point format ,Формат с плавающей точкой половинной точности,以半精度浮点格式存储网格
Meshes_HalfPrecisionShort,Use half-precision floats,Плавающая точка половинной точности,使用半精度浮点数
Meshes_OverrideSettings,{0} Mesh settings,{0} Настройки меша,{0} 网格设置
,,,
Animations_DefaultAnimationSettings,Default Animation settings,Настройки анимации по умолчанию,默认动画设置
Animations_PerAnimationSettings,Per-animation settings,Настройки анимации,逐动画设置
Animations_HalfPrecision,Store animation in Half-precision floating-point format ,Формат с плавающей точкой половинной точности,以半精度浮点格式存储动画
Animations_HalfPrecisionShort,Use half-precision floats,Число половинной точности,使用半精度浮点数
Animations_OverrideSettings,{0} Animation settings,{0} Настройки анимации,{0} 动画设置
,,,
Code_DiagnosticsTab,Diagnostics,Диагностика,诊断
Code_ExclusionsTab,Exclusions,Исключения,排除
Code_StubsTab,Stubs,Стабы,存根
Code_ExternalSourcesTab,External Sources,Внешние источники,外部来源
Code_ScriptingDefinesTab,Scripting Defines,Scripting Defines,脚本处理定义
,,,
DiagnosticsTab_DefaultMessage,"No diagnostics, hit 'Run Diagnostics'","Нет диагностики, нажмите 'Запустить диагностику'",没有诊断，点击 '运行诊断'
DiagnosticsTab_CompilingMessage,Compiling solution...,Компиляция решения ...,正在编译解决方案...
DiagnosticsTab_CompiledMessage,Solution compiled successfully!,Решение скомпилировалось успешно!,解决方案编译成功!
DiagnosticsTab_GatheringMessage,Gathering compilation diagnostics...,Сбор диагностики компиляции ...,正在收集编译诊断...
DiagnosticsTab_ErrorMessage,"Whoops, something went wrong :(","Упс, что-то пошло не так :(",糟糕，出错了:(
DiagnosticsTab_CleanMessage,No compilation errors found,Не найдено ни одной ошибки компиляции,未发现编译错误
DiagnosticsTab_ConsoleMessage_CategoryDuplicate,Compilation panel: Can't add error code {0} to category: '{1}' as it is already assigned to '{2}',"Панель компиляции: невозможно добавить код ошибки {0} к категории: «{1}», так как он уже назначен «{2}»",编译面板：无法在类别中添加错误代码 {0}：'{1}'，因为它已经分配给 '{2}'
DiagnosticsTab_ConsoleMessage_WrongCategoryPath,Compilation panel: Couldn't find categories data at: {0},Панель компиляции: Не удалось найти категории данных по адресу: {0},编译面板：无法在以下位置找到类别数据：{0}
DiagnosticsTab_GroupBy,Group by:,Группа по:,分组依据：
DiagnosticsTab_Severity,Severity:,Критичность:,严重程度：
,,,
CodeSection_OpenSolution,Open Luna Solution,Открыть Luna решение,打开 Luna 解决方案
CodeSection_CompileSolution,Compile Solution,Скомпилировать решение,编译解决方案
CodeSection_RunDiagnostics,Run Diagnostics,Запустить диагностику,运行诊断程序
,,,
CodeExcludeTab_ForceExclude,Force-exclude C# files,Принудительно исключить файлы C #,强制排除 C# 文件
,,,
StubberTab_DeleteButtonTooltip,Remove the selected field from the list. You can't remove default fields.,Удалить выбранное поле из списка. Вы не можете удалить стандартные поля.,从列表中移除所选字段。您不能移除默认字段。
StubberTab_GenerateButtonTooltip,Generate scripts from current nameSpace. You can specify classes or just leave the classes field empty - in this case Stubber will generate all classes. Don't forget to add the directory with original sources to list of Force Excluded C# files.,Создает скрипты из текущего пространства имен. Вы можете указать конкретные классы или оставить поле классов пустым - в этом случае Стаббер будет генерировать все классы. Не забудьте добавить оригинальные скрипты в список исключенных C# файлов.,从当前命名空间生成脚本。您可以指定类，也可将类字段留空。在这种情况下，Stubber 将生成所有类。不要忘记将带有原始来源的目录添加到强制排除的 C# 文件列表中。
StubberTab_ThirdPartySdks,Third-party SDKs,Сторонние SDK,第三方 SDK
StubberTab_AutomaticStubbing,Automatic Stubbing,Автоматический Стаббер,自动存根
StubberTab_Description,"Generate stubs for libraries, plugins and SDKs that aren't supported by Luna Playable. This will exclude the library
from your Luna build and stub all references to that library.","Сформировать стабы для библиотек, плагинов и SDK, которые не поддерживаются Luna Playable. 
Это позволит исключить библиотеку из вашей сборки и создать стабы для всех ссылок на эту библиотеку.",为 Luna Playable 不支持的库、插件和 SDK 生成存根。该操作将从您的 Luna 构建中排除库，并对该库的所有引用进行存根。
StubberTab_SelectSdk,Select SDKs to be stubbed,Выберите SDK для создания стабов,选择需要存根的 SDK
StubberTab_DeleteFieldButton,Delete field,Удалить поле,删除字段
StubberTab_CustomSdkSection,Add an SDK to be stubbed,Добавить SDK для создания стабов,添加要存根的 SDK
StubberTab_CustomSdkName,Name of SDK,Название SDK,SDK 名称
StubberTab_CustomSdkNamespace,Namespace,Пространство имен,命名空间
StubberTab_CustomSdkClasses,Name of specific classes,Название классов,特定类的名称
StubberTab_CustomSdkGenerateButton,Generate Stub,Сгенерировать стаб,生成存根
StubberTab_SucceedMessage_Ok,Ok,Окей,好的
StubberTab_SucceedMessage_Title,SDK stubbing succeeded,Генерация стаба прошла успешно,SDK 存根成功
StubberTab_SucceedMessage_StubbedTypesCount,Count of stubbed types,Количество застабаных типов,存根类型数
StubberTab_FailedMessage_Ok,Ok,Окей,好的
StubberTab_FailedMessage_Title,Stub generation failed,Ошибка при генерации стаба,存根生成失败
StubberTab_TypeGenerationFailed,Type generation failed,Ошибка при генерации типа,类型生成失败
StubberTab_SDKNotFoundMessage_Ok,Ok,Окей,好的
StubberTab_SDKNotFound,SDK not found,SDK не найдено,未找到 SDK
StubberTab_NoneOfTypesListed,None of the listed types,Ни один из перечисленных типов,所列的类型没有
StubberTab_WereFoundAmongNamespaces,were found among namespaces,не был найден среди пространств имен,在命名空间中被找到
StubberTab_SDKWasNotFoundInItsDirectory,SDK was not found in its directory,SDK не был найден в своей директории,未在其目录中找到 SDK
,,,
StubberTree_Stub,Stub,Стаб,存根
StubberTree_Name,Name,Имя,名称
StubberTree_Namespace,Namespace,Пространство имен,命名空间
StubberTree_Classes,Classes,Классы,类
,,,
ExternalSourceTab_CsSources,External C# sources folders,Папки с внешними C # скриптами,外部 C# 来源文件夹
ExternalSourceTab_BrowseAbsolute,Browse for absolute path,Обзор абсолютного пути,浏览绝对路径
ExternalSourceTab_BrowseAbsoluteHeader,Choose Path to External Sources,Выберите путь к внешним источникам,选择外部来源的路径
ExternalSourceTab_BrowseRelative,Browse for relative path,Обзор относительного пути,浏览相对路径
ExternalSourceTab_BrowseRelativeHeader,Choose Path to External Sources,Выберите путь к внешним источникам,选择外部来源的路径
ExternalSourceTab_ExternalJs,External JS libraries,Внешние библиотеки JS,外部 JS 库
ExternalSourceTab_BrowseJsHeader,Choose Path to External library,Выберите путь к внешней библиотеке,选择外部库的路径
ScriptingDefinesTab_Defines,Scripting Defines,Scripting Defines,脚本处理定义
,,,
DevelopSection_OpenDirectory,Open build directory after build,Открыть папку с билдом после окончания сборки,构建后打开生成目录
DevelopSection_Header,Develop,Разработка,开发
DevelopSection_BuildButton,Build project,Собрать проект,构建项目
DevelopSection_ServerSection,Server,Сервер,服务器
DevelopSection_Server_Port,Server Port,Порт сервера,服务器端口
DevelopSection_Server_Start,Start server,Запустить сервер,启动服务器
DevelopSection_Server_Stop,Stop server,Остановить сервер,停止服务器
DevelopSection_Server_OpenInBrowser,Open in browser,Открыть в браузере,在浏览器中打开
,,,
PlaygroundSection_Header,Playground,Playground,Playground
PlaygroundSection_PackageId,Package Id,Идентификатор пакета,包 Id
PlaygroundSection_ProductName,Product Name,Имя продукта,产品名称
PlaygroundSection_BuildProject,Build project,Собрать проект,构建项目
PlaygroundSection_BuildAndUpload,Build & upload,Собрать и загрузить,构建并上传
,,,
ExpertSection_Header,Expert,Эксперт,专家
,,,
ExpertTree_Clear,Clear,Очистить,清空
ExpertTree_ClearOnPlay,Clear On Play,Очистить на запуске,游戏时清空
ExpertTree_OpenDocs,Open documentation,Открыть документацию,打开文档
,,,
SizeBreakdownSection_Header,Per-platform size breakdown,Анализ размера сборки платформы,逐平台大小细分
SizeBreakdownSection_BuildAndEstimateButton,Build & Estimate size,Оценка размера,构建和估算大小
SizeBreakdownSection_CompressionHint,Code Minification disabled. We recommend to enable it in Advanced settings to decrease the final build size.,"Минификация кода отключена. Мы рекомендуем включить ее в дополнительных настройках, чтобы уменьшить конечный размер сборки.",代码最简化已禁用。我们建议在高级设置中将其启用，以降低最终构建大小。
SizeBreakdownSection_BreakdownFailed,Size breakdown failed. Check your console window for errors and LunaTemp/luna.log,Разбивка размера не удалась. Проверьте окно консоли на наличие ошибок и LunaTemp / luna.log,大小细分失败。请检查控制台窗口和 LunaTemp/luna.log 是否报错
SizeBreakdownSection_TotalSize,Total size,Общий размер,总大小
SizeBreakdownSection_WEBPTextureFormat,Unity doesn't support WEBP format,Unity не поддерживает WEBP формат,Unity 不支持 WEBP 格式
,,,
PluginUpdatesSection_Header,Plugin updates,Обновления плагина,插件更新
PluginUpdatesSection_Description,"You're using an outdated version of Luna Playable!
A new version of the plugin ({0}) is available to download from Luna Playground.","Вы используете устаревшую версию Luna PLAYABLE!
Новая версия плагина ({0}) доступна для скачивания на Luna Playground.","您正在使用旧版本的 Luna Playable!
新版本插件可以从 Luna Playground 下载 ({0})。"
PluginUpdatesSection_DownloadButton,Download,Скачать,下载
,,,
Localization_Language,Language,Язык,语言
Localization_SystemLanguageDetected,Your system language is '{0}'. Try to apply '{1}'?,Ваш язык системы «{0}». Попробуем применить '{1}'?,您的系统语言是 '{0}'。是否尝试应用 '{1}'？
Localization_SystemLanguageDetectedNotSupported,"Your system language is '{0}'. Sorry, we don't support it yet. Try to apply '{1}'?","Ваш язык системы «{0}». К сожалению, мы еще его не поддерживаем. Попробуем применить '{1}'?",您的系统语言是 '{0}'。抱歉，我们目前暂不支持该语言。是否尝试应用 '{1}'？
,,,
Expert_DeferredRendering_Title,Deferred rendering is not supported,Отложенный рендеринг не поддерживается,不支持延迟渲染
Expert_DeferredRendering_Description,"Due to compatibility reasons, Luna is only able to use Forward rendering path. Please adjust your player settings or force camera '{0}' into Forward mode.","Luna Playable не поддерживает Deferred rendering path. Пожалуйста, измените Player Settings или переведите камеры «{0}» в режим Forward.",由于兼容性原因，Luna 只能使用正向渲染路径。请调整您的玩家设置，或强制相机 '{0}' 进入正向模式。
Expert_HugeMesh_Title,"Big mesh usage, this might significantly increase output files size.",Большой размер меша,大网格使用，这可能会显著增加输出文件的大小。
Expert_HugeMesh_Description,"Big mesh {0} used on {1} game object, this might significantly increase output files size and take too much memory",Тяжелый меш {0} используется на {1} игровом объекте. Рекомендуем уменьшить точность хранения информации или количество вершин,在 {1} 游戏对象上使用大网格 {0}，这可能会显著增加输出文件的大小并占用过多内存
Expert_InvalidShaderVariant_Title,{0} has problems,Ошибка экспорта варианта шейдера {0},{0} 有问题
Expert_InvalidShaderVariant_Description,Check shader could be compiled for gles rendering platforms (#pragma only_renderers),"Проверьте шейдер. Убедитесь, что он может быть скомпилирован под GLES rendering платформы (#pragma only_renderers)",检查是否能为 GLES 渲染平台编译着色器 (#pragma only_renderers)
Expert_ManyMeshColliders_Title,Extensive use of mesh colliders,Частое использование меш коллайдеров,网格碰撞器的广泛使用
Expert_ManyMeshColliders_Description,Usage of mesh colliders has negative effect on performance. You can use primitive colliders instead.,"Использование меш коллайдеров негативно влияет на производительность.
При этом их можно заменить на примитивные коллайдеры.",网格碰撞器的使用对性能有负面影响。您可转而使用原始碰撞器。
Expert_LinearColorSpace_Title,Linear color space is not supported,Линейное цветовое пространство не поддерживается,不支持线性色彩空间
Expert_LinearColorSpace_Description,"Due to compatibility reasons, Luna is only able to use Gamma color space for rendering. Please adjust your player settings.","Luna Playable использует только цветовое пространство типа гамма для рендеринга. Пожалуйста, измените Player Settings.",由于兼容性原因，Luna 只能使用 Gamma 色彩空间进行渲染。请调整您的玩家设置。
Expert_MissingShaderVariants_Title,No Luna.shader variants asset found,Коллекция шейдер вариантов не найдена,找不到 Luna.shader 着色器变体资源
Expert_MissingShaderVariants_Description,No Assets/Luna.shader variants asset was found. This might bloat your build with excessive shader variants.,Не найдена коллекция шейдер вариантов по пути Assets/Luna.shader variants. Это может увеличить размер вашего билда из-за чрезмерных вариантов шейдеров.,找不到 Assets/Luna.shader 着色器变体资源。过量使用着色器变体可能导致您的构建大小显著增加。
Expert_NonPotTexture_Title,"Non-repeat wrap mode used on a texture with non power-of-two dimensions, this might not be rendered correctly.","Текстура с разрешением, не кратным 2, использует non-repeat wrap mode. Она будет отображаться некорректно.",在非二维幂的纹理上使用非重复循环模式，可能会导致无法正确渲染。
Expert_NonPotTexture_Description,"Non-repeat wrap mode used on '{0}' texture at '{1}' with non power-of-two dimensions, this might not be rendered correctly.","Игровой объект «{1}» содержит текстуру «{0}» с разрешением, не кратным 2, которая использует non-repeat wrap mode. Она будет отображаться некорректно.",在 '{1}' 非二维幂的 '{0}' 纹理上使用的非重复换行模式，可能无法正确渲染。
Expert_NullComponent_Title,There are missing components on {0}.,Есть недостающие компоненты на {0}.,{0} 上缺少组件。
Expert_NullComponent_Description,There are missing components on {0}.,Есть недостающие компоненты на {0}.,{0} 上缺少组件。
Expert_PlaygroundAssetValue_Title,Playground Asset has no default value,Playground ассеты не имеют значения по умолчанию,Playground 资源没有默认值
Expert_PlaygroundAssetValue_Description,[LunaPlaygroundAsset] Attribute added onto '{0}' field of '{1}' class must have a default value to appear in Playground.,"Поле, помеченное [LunaPlaygroundAsset] атрибутом, которое добавлено на «{0}» поле «{1}» класса, должно иметь значение по умолчанию, чтобы появиться в Playground.",[LunaPlaygroundAsset] 添加到 '{1}'类的 '{0}' 字段中的属性必须具有默认值，才能在 Playground 中显示。
Expert_ScaleOnCollider_Title,"Looks like a collider was scaled, this might affect performance.",Обнаружен масштабированный коллайдер,看起来碰撞器已进行缩放调整，这可能会影响性能
Expert_ScaleOnCollider_Description,"Looks like {0} collider on {1} game object was scaled, this might affect performance.","Масштаб {0} коллайдера на игровом объекте {1} был изменен, это негативно скажется на производительности.",看起来 {1} 游戏对象上的 {0} 碰撞器已进行缩放调整，这可能会影响性能
Expert_ShaderStripping_Title,Update shader stripping settings,Обновление параметров зачистки шейдера ,更新着色器剥离设置
Expert_ShaderStripping_Description,Some of the scenes appear to have fog enabled and / or lightmapping data. Please modify 'Shader stripping' settings to always include required shader variants.,"В некоторых сценах включен туман и / или запечен свет. Пожалуйста, измените «Shader stripping» активируйте настройку на постоянное включение необходимых шейдерных вариантов.",某些场景似乎启用了雾和/或光映射数据。请修改“着色器剥离”设置，以始终包含所需的着色器变体。
Expert_UnreadableTexture_Title,Unreadable texture.,Нечитаемые текстуры.,纹理不可读。
Expert_UnreadableTexture_Description,Can't read '{0}' texture at '{1}'.,Не удается прочитать '{0}' текстуру на '{1}'.,无法读取 '{1}' 处的 '{0}' 纹理。
,,,
BuildStages_AssetsExporting,Assets exporting,Ассеты экспортируются,资源导出
BuildStages_AssetsBundling,Assets bundling,Упаковка ассетов,资源捆绑
BuildStages_CodeBundling,Code bundling,Сборка кода,代码捆绑
BuildStages_PackageBundling,Package bundling,Сборка пакета,包捆绑
BuildStages_PackageUploading,Package uploading,Загрузка пакета,包正在上传
BuildStages_PackageUploadedSuccessfully,Package uploaded successfully,Пакет успешно загружен,包上传成功
,,,
ProjectDiagnostics_Title,Project Diagnostics,Диагностика проекта,项目诊断
ProjectDiagnostics_LastBuild,Last Build,Последняя сборка,上一次构建
ProjectDiagnostics_BuildID,Build ID,Идентификатор сборки,构建 ID
ProjectDiagnostics_DevelopButton,Build project,Собрать проект,构建项目
ProjectDiagnostics_AssetsDiagnostics,Assets diagnostics,Диагностика ассетов,资源诊断
ProjectDiagnostics_CodeDiagnostics,Code diagnostics,Диагностика кода,代码诊断
ProjectDiagnostics_AssetsExport,Assets Export,Экспорт ассетов,资源导出
ProjectDiagnostics_AssetsProcessing,Assets Processing,Оптимизация ассетов,资源处理
ProjectDiagnostics_Scripts,Scripts,Код,脚本
ProjectDiagnostics_Package,Package,Пакет,包
ProjectDiagnostics_Severity_Critical,Errors preventing export of your playable,Критические ошибки экспорта,导致您的可试玩广告无法导出的错误
ProjectDiagnostics_Severity_HighImpact,Issues with high impact on performance and integrity,"Проблемы, влияющие на производительность",对性和完整性影响较大的问题
ProjectDiagnostics_Severity_Suggestions,Suggestions and optimisations,Предложения по оптимизации,建议和优化
ProjectDiagnostics_Filtered,Filtered,Скрыто,已过滤
ProjectDiagnostics_Details,Details,Подробности,详细信息
ProjectDiagnostics_FilePath,File path,Путь к файлу,文件路径
ProjectDiagnostics_CopyLog,Copy log,Скопировать лог,复制日志
ProjectDiagnostics_ReportIssue,Report issue,Сообщить о проблеме,报告问题
ProjectDiagnostics_SelectLog,Select a log to view more details.,Открыть логи,选择日志以查看更多详细信息。
,,,
ProjectDiagnostics_ReportIssue_Title,Send log to Luna,Отправить лог в поддержку Luna,向 Luna 发送日志
ProjectDiagnostics_ReportIssue_TopBody,"You can send logs to us for review. If you wish to report an issue with your build that you believe is the result of a bug or problem with Luna Playable.
","Если вы обнаружили проблемы, пришлите нам лог. Проанализировав его, мы сможем быстрее и эффективнее помочь вам, а также попробуем устранить саму проблему в Luna Playable",您可将日志发送给我们进行检阅。如果您希望报告因 Luna Playable 故障造成的构建问题。
ProjectDiagnostics_ReportIssue_BottomBody,"Please provide information about what caused the issue, steps for reproduction and anything else that may help us:
","Укажите дополнительную информацию о проблеме: что предшествовало проблеме, шаги для воспроизведения или любую другую полезную информацию ",请提供导致问题发生相关的信息、问题复现的步骤，以及其他可能对我们有帮助的信息：
ProjectDiagnostics_ReportIssue_Close,Close,Закрыть,关闭
ProjectDiagnostics_ReportIssue_Submit,Submit,Отправить,提交
,,,
ProjectDiagnostics_Filter_Stages_AllStages,All stages,Все этапы,所有阶段
ProjectDiagnostics_Filter_Stages_Stage1,Stage 1,Этап экспорта 1,第 1 阶段
ProjectDiagnostics_Filter_Stages_Stage2,Stage 2,Этап экспорта 2,第 2 阶段
ProjectDiagnostics_Filter_Stages_Stage3,Stage 3,Этап экспорта 3,第 3 阶段
,,,
ProjectDiagnostics_Filter_ErrorTypes_AllErrortypes,All Error Types,Все типы ошибок,所有错误类型
ProjectDiagnostics_Filter_ErrorTypes_Uncategorized,Uncategorized,Без категории,未分类
ProjectDiagnostics_Filter_ErrorTypes_CompilationError,Compilation Error,Ошибка компиляции,编译错误
ProjectDiagnostics_Filter_ErrorTypes_ExportError,Export Error,Ошибка экспорта,导出错误
ProjectDiagnostics_Filter_ErrorTypes_Performance,Performance,Производительность,性能
ProjectDiagnostics_Filter_ErrorTypes_LunaSettings,Luna Settings,Настройки Luna,Luna 设置
ProjectDiagnostics_Filter_ErrorTypes_Rendering,Rendering,Отрисовка,渲染
ProjectDiagnostics_Filter_ErrorTypes_BuildSize,Build Size,Размер сборки,构建大小
ProjectDiagnostics_Filter_ErrorTypes_EngineBuild,Engine Build,Размер движка,引擎构建
,,,
